year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,4023,Hillary Clinton,Donald J. Trump,11690,71.14%,3897,23.71%
2016,4025,Hillary Clinton,Donald J. Trump,35590,31.10%,71330,62.32%
2016,4027,Hillary Clinton,Donald J. Trump,24605,46.42%,25165,47.47%
2016,5001,Hillary Clinton,Donald J. Trump,1939,31.21%,3826,61.59%
2016,5003,Hillary Clinton,Donald J. Trump,2408,29.79%,5338,66.04%
2016,5005,Hillary Clinton,Donald J. Trump,4169,21.09%,14682,74.28%
2016,5007,Hillary Clinton,Donald J. Trump,28005,28.92%,60871,62.87%
2016,5009,Hillary Clinton,Donald J. Trump,2926,18.16%,12235,75.94%
2016,5011,Hillary Clinton,Donald J. Trump,1317,36.05%,2164,59.24%
2016,5013,Hillary Clinton,Donald J. Trump,639,28.16%,1556,68.58%
2016,5015,Hillary Clinton,Donald J. Trump,3342,31.07%,6786,63.08%
2016,5017,Hillary Clinton,Donald J. Trump,2350,56.27%,1716,41.09%
2016,5019,Hillary Clinton,Donald J. Trump,3620,42.46%,4404,51.65%
2016,5021,Hillary Clinton,Donald J. Trump,1199,23.06%,3781,72.71%
2016,5023,Hillary Clinton,Donald J. Trump,2101,17.39%,9458,78.26%
2016,5025,Hillary Clinton,Donald J. Trump,723,21.56%,2462,73.40%
2016,5027,Hillary Clinton,Donald J. Trump,3140,35.33%,5456,61.39%
2016,5029,Hillary Clinton,Donald J. Trump,2656,33.51%,4849,61.17%
2016,5031,Hillary Clinton,Donald J. Trump,10538,29.62%,22892,64.35%
2016,5033,Hillary Clinton,Donald J. Trump,4488,19.99%,16686,74.33%
2016,5035,Hillary Clinton,Donald J. Trump,8410,52.72%,6964,43.66%
2016,5037,Hillary Clinton,Donald J. Trump,1999,29.08%,4584,66.69%
2016,5039,Hillary Clinton,Donald J. Trump,1165,42.04%,1509,54.46%
2016,5041,Hillary Clinton,Donald J. Trump,2228,52.34%,1919,45.08%
2016,5043,Hillary Clinton,Donald J. Trump,2365,35.86%,3968,60.17%
2016,5045,Hillary Clinton,Donald J. Trump,14629,30.78%,29346,61.75%
2016,5047,Hillary Clinton,Donald J. Trump,1376,20.32%,5039,74.43%
2016,5049,Hillary Clinton,Donald J. Trump,1067,22.36%,3471,72.74%
2016,5051,Hillary Clinton,Donald J. Trump,12311,30.17%,26087,63.93%
2016,5053,Hillary Clinton,Donald J. Trump,1373,18.44%,5725,76.90%
2016,5055,Hillary Clinton,Donald J. Trump,3071,21.03%,10720,73.42%
2016,5057,Hillary Clinton,Donald J. Trump,2377,33.72%,4401,62.43%
2016,5059,Hillary Clinton,Donald J. Trump,3149,26.36%,8172,68.42%
2016,5061,Hillary Clinton,Donald J. Trump,1351,28.90%,3157,67.54%
