"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"40",2016,1079,"Hillary Clinton","Donald J. Trump",3627,"24.46%",10833,"73.05%"
"41",2016,1081,"Hillary Clinton","Donald J. Trump",21230,"35.87%",34617,"58.48%"
"42",2016,1083,"Hillary Clinton","Donald J. Trump",9468,"23.50%",29067,"72.14%"
"43",2016,1085,"Hillary Clinton","Donald J. Trump",4883,"73.06%",1751,"26.20%"
"44",2016,1087,"Hillary Clinton","Donald J. Trump",7566,"82.78%",1431,"15.66%"
"45",2016,1089,"Hillary Clinton","Donald J. Trump",62822,"38.45%",89520,"54.79%"
"46",2016,1091,"Hillary Clinton","Donald J. Trump",5615,"51.07%",5233,"47.60%"
"47",2016,1093,"Hillary Clinton","Donald J. Trump",1432,"11.03%",11274,"86.83%"
"48",2016,1095,"Hillary Clinton","Donald J. Trump",4917,"13.92%",29233,"82.78%"
"49",2016,1097,"Hillary Clinton","Donald J. Trump",72186,"41.79%",95116,"55.06%"
"50",2016,1099,"Hillary Clinton","Donald J. Trump",4332,"42.18%",5795,"56.42%"
"51",2016,1101,"Hillary Clinton","Donald J. Trump",58916,"61.45%",34003,"35.46%"
"52",2016,1103,"Hillary Clinton","Donald J. Trump",11254,"22.22%",37486,"74.02%"
"53",2016,1105,"Hillary Clinton","Donald J. Trump",3824,"72.45%",1407,"26.66%"
"54",2016,1107,"Hillary Clinton","Donald J. Trump",3972,"41.63%",5456,"57.18%"
"55",2016,1109,"Hillary Clinton","Donald J. Trump",5056,"38.40%",7693,"58.42%"
"56",2016,1111,"Hillary Clinton","Donald J. Trump",2291,"22.49%",7705,"75.64%"
"57",2016,1113,"Hillary Clinton","Donald J. Trump",9579,"49.75%",9210,"47.83%"
"58",2016,1115,"Hillary Clinton","Donald J. Trump",5589,"14.55%",31651,"82.42%"
"59",2016,1117,"Hillary Clinton","Donald J. Trump",22977,"22.69%",73020,"72.12%"
"60",2016,1119,"Hillary Clinton","Donald J. Trump",4746,"74.03%",1581,"24.66%"
"61",2016,1121,"Hillary Clinton","Donald J. Trump",12121,"36.28%",20614,"61.71%"
"62",2016,1123,"Hillary Clinton","Donald J. Trump",5519,"28.32%",13594,"69.76%"
"63",2016,1125,"Hillary Clinton","Donald J. Trump",31762,"38.41%",47723,"57.71%"
