"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"1302",2016,27035,"Hillary Clinton","Donald J. Trump",10982,"30.64%",22287,"62.18%"
"1303",2016,27037,"Hillary Clinton","Donald J. Trump",110592,"47.70%",99864,"43.07%"
"1304",2016,27039,"Hillary Clinton","Donald J. Trump",3102,"29.12%",6527,"61.26%"
"1305",2016,27041,"Hillary Clinton","Donald J. Trump",6227,"28.58%",13966,"64.11%"
"1306",2016,27043,"Hillary Clinton","Donald J. Trump",2153,"29.05%",4659,"62.86%"
"1307",2016,27045,"Hillary Clinton","Donald J. Trump",3872,"35.02%",6271,"56.73%"
"1308",2016,27047,"Hillary Clinton","Donald J. Trump",6041,"37.64%",8808,"54.88%"
"1309",2016,27049,"Hillary Clinton","Donald J. Trump",9446,"36.73%",14041,"54.60%"
"1310",2016,27051,"Hillary Clinton","Donald J. Trump",1105,"31.82%",2063,"59.40%"
"1311",2016,27053,"Hillary Clinton","Donald J. Trump",429288,"63.13%",191770,"28.20%"
"1312",2016,27055,"Hillary Clinton","Donald J. Trump",4145,"39.09%",5616,"52.96%"
"1313",2016,27057,"Hillary Clinton","Donald J. Trump",3423,"29.75%",7261,"63.11%"
"1314",2016,27059,"Hillary Clinton","Donald J. Trump",5657,"26.92%",13635,"64.88%"
"1315",2016,27061,"Hillary Clinton","Donald J. Trump",9015,"37.75%",12920,"54.10%"
"1316",2016,27063,"Hillary Clinton","Donald J. Trump",1492,"27.21%",3609,"65.81%"
"1317",2016,27065,"Hillary Clinton","Donald J. Trump",2327,"28.46%",5230,"63.96%"
"1318",2016,27067,"Hillary Clinton","Donald J. Trump",7266,"33.37%",12785,"58.72%"
"1319",2016,27069,"Hillary Clinton","Donald J. Trump",823,"34.51%",1349,"56.56%"
"1320",2016,27071,"Hillary Clinton","Donald J. Trump",2306,"36.24%",3569,"56.09%"
"1321",2016,27073,"Hillary Clinton","Donald J. Trump",1305,"33.81%",2293,"59.40%"
"1322",2016,27075,"Hillary Clinton","Donald J. Trump",3077,"47.19%",2932,"44.96%"
"1323",2016,27077,"Hillary Clinton","Donald J. Trump",553,"24.67%",1540,"68.69%"
"1324",2016,27079,"Hillary Clinton","Donald J. Trump",4623,"30.88%",9182,"61.33%"
"1325",2016,27081,"Hillary Clinton","Donald J. Trump",860,"28.49%",1931,"63.96%"
"1326",2016,27083,"Hillary Clinton","Donald J. Trump",3825,"31.31%",7256,"59.40%"
"1327",2016,27085,"Hillary Clinton","Donald J. Trump",4978,"26.47%",12155,"64.63%"
"1328",2016,27087,"Hillary Clinton","Donald J. Trump",930,"44.54%",991,"47.46%"
"1329",2016,27089,"Hillary Clinton","Donald J. Trump",1225,"25.43%",3208,"66.60%"
"1330",2016,27091,"Hillary Clinton","Donald J. Trump",2733,"25.95%",7062,"67.06%"
"1331",2016,27093,"Hillary Clinton","Donald J. Trump",3191,"25.98%",8104,"65.98%"
"1332",2016,27095,"Hillary Clinton","Donald J. Trump",3710,"28.50%",8340,"64.07%"
"1333",2016,27097,"Hillary Clinton","Donald J. Trump",3637,"20.65%",12925,"73.38%"
"1334",2016,27099,"Hillary Clinton","Donald J. Trump",7437,"41.98%",8823,"49.81%"
"1335",2016,27101,"Hillary Clinton","Donald J. Trump",1295,"27.74%",2974,"63.71%"
"1336",2016,27103,"Hillary Clinton","Donald J. Trump",7886,"43.58%",8437,"46.62%"
"1337",2016,27105,"Hillary Clinton","Donald J. Trump",2733,"31.66%",5299,"61.39%"
"1338",2016,27107,"Hillary Clinton","Donald J. Trump",1264,"38.76%",1699,"52.10%"
"1339",2016,27109,"Hillary Clinton","Donald J. Trump",36268,"45.26%",35668,"44.51%"
"1340",2016,27111,"Hillary Clinton","Donald J. Trump",9340,"28.74%",20939,"64.43%"
"1341",2016,27113,"Hillary Clinton","Donald J. Trump",2147,"31.97%",4000,"59.57%"
"1342",2016,27115,"Hillary Clinton","Donald J. Trump",4580,"33.16%",8191,"59.31%"
"1343",2016,27117,"Hillary Clinton","Donald J. Trump",1127,"23.44%",3338,"69.43%"
"1344",2016,27119,"Hillary Clinton","Donald J. Trump",4712,"31.85%",8979,"60.69%"
"1345",2016,27121,"Hillary Clinton","Donald J. Trump",2106,"33.33%",3793,"60.03%"
"1346",2016,27123,"Hillary Clinton","Donald J. Trump",177738,"65.07%",70894,"25.95%"
"1347",2016,27125,"Hillary Clinton","Donald J. Trump",540,"28.71%",1141,"60.66%"
"1348",2016,27127,"Hillary Clinton","Donald J. Trump",1887,"24.79%",5137,"67.49%"
"1349",2016,27129,"Hillary Clinton","Donald J. Trump",2117,"27.83%",4890,"64.29%"
"1350",2016,27131,"Hillary Clinton","Donald J. Trump",14437,"44.50%",15429,"47.56%"
"1351",2016,27133,"Hillary Clinton","Donald J. Trump",1373,"28.37%",3091,"63.88%"
"1352",2016,27135,"Hillary Clinton","Donald J. Trump",1856,"23.78%",5451,"69.85%"
"1353",2016,27137,"Hillary Clinton","Donald J. Trump",57771,"51.39%",44630,"39.70%"
"1354",2016,27139,"Hillary Clinton","Donald J. Trump",28502,"37.99%",39948,"53.24%"
"1355",2016,27141,"Hillary Clinton","Donald J. Trump",13293,"27.53%",31053,"64.31%"
"1356",2016,27143,"Hillary Clinton","Donald J. Trump",1954,"25.14%",5193,"66.80%"
"1357",2016,27145,"Hillary Clinton","Donald J. Trump",25576,"32.13%",47617,"59.83%"
"1358",2016,27147,"Hillary Clinton","Donald J. Trump",6241,"32.54%",11198,"58.39%"
"1359",2016,27149,"Hillary Clinton","Donald J. Trump",2116,"39.20%",2799,"51.85%"
"1360",2016,27151,"Hillary Clinton","Donald J. Trump",1686,"33.76%",2963,"59.33%"
"1361",2016,27153,"Hillary Clinton","Donald J. Trump",2783,"23.21%",8485,"70.75%"
"1362",2016,27155,"Hillary Clinton","Donald J. Trump",630,"35.04%",1049,"58.34%"
"1363",2016,27157,"Hillary Clinton","Donald J. Trump",3866,"32.67%",6989,"59.07%"
"1364",2016,27159,"Hillary Clinton","Donald J. Trump",1684,"24.29%",4837,"69.76%"
"1365",2016,27161,"Hillary Clinton","Donald J. Trump",2838,"29.40%",5967,"61.81%"
"1366",2016,27163,"Hillary Clinton","Donald J. Trump",67086,"46.51%",64428,"44.67%"
"1367",2016,27165,"Hillary Clinton","Donald J. Trump",1814,"36.29%",2768,"55.38%"
"1368",2016,27167,"Hillary Clinton","Donald J. Trump",893,"27.04%",2129,"64.48%"
"1369",2016,27169,"Hillary Clinton","Donald J. Trump",11366,"43.59%",12122,"46.49%"
"1370",2016,27171,"Hillary Clinton","Donald J. Trump",20334,"29.21%",43274,"62.16%"
"1371",2016,27173,"Hillary Clinton","Donald J. Trump",1524,"28.89%",3382,"64.10%"
"1372",2016,28001,"Hillary Clinton","Donald J. Trump",7757,"56.06%",5874,"42.45%"
"1373",2016,28003,"Hillary Clinton","Donald J. Trump",2684,"18.16%",11819,"79.95%"
"1374",2016,28005,"Hillary Clinton","Donald J. Trump",2697,"38.26%",4289,"60.84%"
"1375",2016,28007,"Hillary Clinton","Donald J. Trump",3242,"39.27%",4897,"59.31%"
"1376",2016,28009,"Hillary Clinton","Donald J. Trump",1719,"42.74%",2251,"55.97%"
"1377",2016,28011,"Hillary Clinton","Donald J. Trump",9046,"65.44%",4590,"33.20%"
"1378",2016,28013,"Hillary Clinton","Donald J. Trump",1910,"29.86%",4390,"68.64%"
"1379",2016,28015,"Hillary Clinton","Donald J. Trump",1680,"30.39%",3799,"68.72%"
"1380",2016,28017,"Hillary Clinton","Donald J. Trump",3649,"46.25%",4127,"52.31%"
"1381",2016,28019,"Hillary Clinton","Donald J. Trump",1218,"29.96%",2788,"68.59%"
"1382",2016,28021,"Hillary Clinton","Donald J. Trump",3708,"86.80%",540,"12.64%"
"1383",2016,28023,"Hillary Clinton","Donald J. Trump",2585,"33.18%",5137,"65.94%"
"1384",2016,28025,"Hillary Clinton","Donald J. Trump",5722,"57.20%",4150,"41.49%"
"1385",2016,28027,"Hillary Clinton","Donald J. Trump",6378,"71.57%",2426,"27.22%"
"1386",2016,28029,"Hillary Clinton","Donald J. Trump",6741,"51.93%",6103,"47.01%"
"1387",2016,28031,"Hillary Clinton","Donald J. Trump",3276,"37.18%",5435,"61.68%"
"1388",2016,28033,"Hillary Clinton","Donald J. Trump",20591,"31.13%",43089,"65.13%"
"1389",2016,28035,"Hillary Clinton","Donald J. Trump",11716,"41.75%",15461,"55.09%"
"1390",2016,28037,"Hillary Clinton","Donald J. Trump",1502,"35.01%",2721,"63.43%"
"1391",2016,28039,"Hillary Clinton","Donald J. Trump",1027,"10.38%",8696,"87.92%"
"1392",2016,28041,"Hillary Clinton","Donald J. Trump",974,"18.14%",4335,"80.74%"
"1393",2016,28043,"Hillary Clinton","Donald J. Trump",4424,"42.08%",5970,"56.79%"
"1394",2016,28045,"Hillary Clinton","Donald J. Trump",3344,"18.96%",13811,"78.31%"
"1395",2016,28047,"Hillary Clinton","Donald J. Trump",21169,"33.44%",40354,"63.74%"
"1396",2016,28049,"Hillary Clinton","Donald J. Trump",67594,"71.09%",25275,"26.58%"
"1397",2016,28051,"Hillary Clinton","Donald J. Trump",6689,"82.83%",1309,"16.21%"
"1398",2016,28053,"Hillary Clinton","Donald J. Trump",3071,"72.21%",1151,"27.06%"
"1399",2016,28055,"Hillary Clinton","Donald J. Trump",395,"56.51%",298,"42.63%"
"1400",2016,28057,"Hillary Clinton","Donald J. Trump",1117,"11.47%",8470,"86.99%"
"1401",2016,28059,"Hillary Clinton","Donald J. Trump",14657,"29.57%",33629,"67.85%"
"1402",2016,28061,"Hillary Clinton","Donald J. Trump",4368,"51.54%",4038,"47.65%"
"1403",2016,28063,"Hillary Clinton","Donald J. Trump",3337,"86.45%",490,"12.69%"
"1404",2016,28065,"Hillary Clinton","Donald J. Trump",3720,"59.64%",2466,"39.54%"
"1405",2016,28067,"Hillary Clinton","Donald J. Trump",7791,"27.48%",20133,"71.01%"
"1406",2016,28069,"Hillary Clinton","Donald J. Trump",2827,"60.94%",1778,"38.33%"
"1407",2016,28071,"Hillary Clinton","Donald J. Trump",7969,"40.57%",10872,"55.35%"
"1408",2016,28073,"Hillary Clinton","Donald J. Trump",5190,"21.10%",18751,"76.25%"
"1409",2016,28075,"Hillary Clinton","Donald J. Trump",11269,"38.19%",17741,"60.13%"
"1410",2016,28077,"Hillary Clinton","Donald J. Trump",2195,"34.49%",4091,"64.28%"
"1411",2016,28079,"Hillary Clinton","Donald J. Trump",3584,"42.42%",4782,"56.60%"
"1412",2016,28081,"Hillary Clinton","Donald J. Trump",10029,"30.47%",22220,"67.51%"
"1413",2016,28083,"Hillary Clinton","Donald J. Trump",7787,"69.90%",3212,"28.83%"
"1414",2016,28085,"Hillary Clinton","Donald J. Trump",4458,"29.34%",10550,"69.44%"
"1415",2016,28087,"Hillary Clinton","Donald J. Trump",11819,"46.00%",13271,"51.65%"
"1416",2016,28089,"Hillary Clinton","Donald J. Trump",20343,"40.58%",28265,"56.38%"
"1417",2016,28091,"Hillary Clinton","Donald J. Trump",3677,"31.45%",7836,"67.01%"
"1418",2016,28093,"Hillary Clinton","Donald J. Trump",8023,"54.07%",6587,"44.39%"
"1419",2016,28095,"Hillary Clinton","Donald J. Trump",5524,"34.78%",10167,"64.01%"
"1420",2016,28097,"Hillary Clinton","Donald J. Trump",2115,"42.33%",2818,"56.41%"
"1421",2016,28099,"Hillary Clinton","Donald J. Trump",2715,"25.73%",7679,"72.77%"
"1422",2016,28101,"Hillary Clinton","Donald J. Trump",2756,"29.20%",6548,"69.38%"
"1423",2016,28103,"Hillary Clinton","Donald J. Trump",4347,"77.99%",1200,"21.53%"
"1424",2016,28105,"Hillary Clinton","Donald J. Trump",8859,"48.88%",8576,"47.32%"
"1425",2016,28107,"Hillary Clinton","Donald J. Trump",7431,"49.33%",7449,"49.45%"
"1426",2016,28109,"Hillary Clinton","Donald J. Trump",3604,"16.47%",17782,"81.26%"
"1427",2016,28111,"Hillary Clinton","Donald J. Trump",1220,"22.46%",4135,"76.12%"
"1428",2016,28113,"Hillary Clinton","Donald J. Trump",8043,"49.16%",8009,"48.95%"
"1429",2016,28115,"Hillary Clinton","Donald J. Trump",2386,"18.38%",10336,"79.61%"
"1430",2016,28117,"Hillary Clinton","Donald J. Trump",2067,"20.94%",7648,"77.47%"
"1431",2016,28119,"Hillary Clinton","Donald J. Trump",2312,"68.71%",1001,"29.75%"
"1432",2016,28121,"Hillary Clinton","Donald J. Trump",14110,"22.36%",47178,"74.76%"
"1433",2016,28123,"Hillary Clinton","Donald J. Trump",4268,"40.56%",6122,"58.18%"
"1434",2016,28125,"Hillary Clinton","Donald J. Trump",1479,"67.53%",692,"31.60%"
"1435",2016,28127,"Hillary Clinton","Donald J. Trump",3874,"33.93%",7393,"64.74%"
"1436",2016,28129,"Hillary Clinton","Donald J. Trump",1617,"21.20%",5928,"77.72%"
"1437",2016,28131,"Hillary Clinton","Donald J. Trump",1573,"22.33%",5306,"75.32%"
"1438",2016,28133,"Hillary Clinton","Donald J. Trump",6725,"70.07%",2794,"29.11%"
"1439",2016,28135,"Hillary Clinton","Donald J. Trump",3337,"56.85%",2462,"41.94%"
"1440",2016,28137,"Hillary Clinton","Donald J. Trump",3926,"33.77%",7495,"64.46%"
"1441",2016,28139,"Hillary Clinton","Donald J. Trump",1842,"19.89%",7240,"78.19%"
"1442",2016,28141,"Hillary Clinton","Donald J. Trump",999,"11.93%",7166,"85.61%"
"1443",2016,28143,"Hillary Clinton","Donald J. Trump",2667,"74.77%",853,"23.91%"
"1444",2016,28145,"Hillary Clinton","Donald J. Trump",2012,"17.50%",9235,"80.33%"
"1445",2016,28147,"Hillary Clinton","Donald J. Trump",2790,"40.32%",4056,"58.62%"
"1446",2016,28149,"Hillary Clinton","Donald J. Trump",9284,"47.82%",9767,"50.30%"
"1447",2016,28151,"Hillary Clinton","Donald J. Trump",11380,"67.64%",5244,"31.17%"
"1448",2016,28153,"Hillary Clinton","Donald J. Trump",3524,"36.71%",5990,"62.40%"
"1449",2016,28155,"Hillary Clinton","Donald J. Trump",1019,"20.10%",3976,"78.44%"
"1450",2016,28157,"Hillary Clinton","Donald J. Trump",2857,"67.73%",1318,"31.25%"
"1451",2016,28159,"Hillary Clinton","Donald J. Trump",3850,"43.35%",4910,"55.29%"
"1452",2016,28161,"Hillary Clinton","Donald J. Trump",2582,"42.49%",3376,"55.55%"
"1453",2016,28163,"Hillary Clinton","Donald J. Trump",5369,"53.32%",4598,"45.66%"
"1454",2016,29001,"Hillary Clinton","Donald J. Trump",3500,"34.23%",6030,"58.97%"
"1455",2016,29003,"Hillary Clinton","Donald J. Trump",2045,"22.24%",6665,"72.49%"
"1456",2016,29005,"Hillary Clinton","Donald J. Trump",541,"19.82%",2060,"75.46%"
"1457",2016,29007,"Hillary Clinton","Donald J. Trump",2570,"25.36%",6981,"68.89%"
"1458",2016,29009,"Hillary Clinton","Donald J. Trump",2710,"18.56%",11428,"78.25%"
"1459",2016,29011,"Hillary Clinton","Donald J. Trump",795,"13.39%",4959,"83.50%"
"1460",2016,29013,"Hillary Clinton","Donald J. Trump",1618,"20.02%",6001,"74.24%"
"1461",2016,29015,"Hillary Clinton","Donald J. Trump",2025,"21.12%",7213,"75.21%"
"1462",2016,29017,"Hillary Clinton","Donald J. Trump",705,"12.42%",4827,"85.04%"
"1463",2016,29019,"Hillary Clinton","Donald J. Trump",41125,"49.04%",36200,"43.16%"
"1464",2016,29021,"Hillary Clinton","Donald J. Trump",12013,"33.40%",21320,"59.28%"
"1465",2016,29023,"Hillary Clinton","Donald J. Trump",3036,"17.59%",13650,"79.09%"
"1466",2016,29025,"Hillary Clinton","Donald J. Trump",838,"19.43%",3232,"74.95%"
"1467",2016,29027,"Hillary Clinton","Donald J. Trump",4989,"25.81%",13057,"67.54%"
"1468",2016,29029,"Hillary Clinton","Donald J. Trump",4768,"21.02%",16944,"74.71%"
"1469",2016,29031,"Hillary Clinton","Donald J. Trump",8492,"22.76%",27017,"72.41%"
"1470",2016,29033,"Hillary Clinton","Donald J. Trump",745,"17.08%",3480,"79.80%"
"1471",2016,29035,"Hillary Clinton","Donald J. Trump",436,"15.30%",2324,"81.54%"
"1472",2016,29037,"Hillary Clinton","Donald J. Trump",14846,"28.88%",33098,"64.38%"
"1473",2016,29039,"Hillary Clinton","Donald J. Trump",1011,"15.98%",5021,"79.36%"
"1474",2016,29041,"Hillary Clinton","Donald J. Trump",888,"22.37%",2950,"74.33%"
"1475",2016,29043,"Hillary Clinton","Donald J. Trump",8508,"20.32%",30946,"73.92%"
"1476",2016,29045,"Hillary Clinton","Donald J. Trump",724,"21.83%",2458,"74.13%"
"1477",2016,29047,"Hillary Clinton","Donald J. Trump",45304,"40.75%",57476,"51.70%"
"1478",2016,29049,"Hillary Clinton","Donald J. Trump",2572,"24.97%",7067,"68.60%"
"1479",2016,29051,"Hillary Clinton","Donald J. Trump",10913,"28.98%",24616,"65.37%"
"1480",2016,29053,"Hillary Clinton","Donald J. Trump",1932,"24.19%",5624,"70.42%"
"1481",2016,29055,"Hillary Clinton","Donald J. Trump",1824,"18.39%",7724,"77.86%"
"1482",2016,29057,"Hillary Clinton","Donald J. Trump",637,"16.12%",3184,"80.59%"
"1483",2016,29059,"Hillary Clinton","Donald J. Trump",1272,"17.07%",5895,"79.10%"
"1484",2016,29061,"Hillary Clinton","Donald J. Trump",730,"19.53%",2767,"74.02%"
"1485",2016,29063,"Hillary Clinton","Donald J. Trump",824,"17.81%",3540,"76.52%"
"1486",2016,29065,"Hillary Clinton","Donald J. Trump",978,"14.40%",5600,"82.46%"
"1487",2016,29067,"Hillary Clinton","Donald J. Trump",984,"14.76%",5486,"82.30%"
"1488",2016,29069,"Hillary Clinton","Donald J. Trump",2360,"22.31%",8026,"75.87%"
"1489",2016,29071,"Hillary Clinton","Donald J. Trump",12341,"24.45%",35430,"70.20%"
"1490",2016,29073,"Hillary Clinton","Donald J. Trump",1520,"20.40%",5670,"76.10%"
"1491",2016,29075,"Hillary Clinton","Donald J. Trump",605,"19.88%",2304,"75.71%"
"1492",2016,29077,"Hillary Clinton","Donald J. Trump",42728,"32.74%",78035,"59.79%"
"1493",2016,29079,"Hillary Clinton","Donald J. Trump",780,"17.62%",3462,"78.18%"
"1494",2016,29081,"Hillary Clinton","Donald J. Trump",574,"15.56%",2965,"80.37%"
"1495",2016,29083,"Hillary Clinton","Donald J. Trump",2357,"23.78%",7075,"71.38%"
"1496",2016,29085,"Hillary Clinton","Donald J. Trump",1016,"21.34%",3542,"74.40%"
"1497",2016,29087,"Hillary Clinton","Donald J. Trump",347,"14.73%",1926,"81.78%"
"1498",2016,29089,"Hillary Clinton","Donald J. Trump",1283,"26.36%",3277,"67.32%"
"1499",2016,29091,"Hillary Clinton","Donald J. Trump",2881,"16.51%",13893,"79.59%"
"1500",2016,29093,"Hillary Clinton","Donald J. Trump",933,"21.86%",3173,"74.33%"
"1501",2016,29095,"Hillary Clinton","Donald J. Trump",168972,"55.46%",116211,"38.14%"
"1502",2016,29097,"Hillary Clinton","Donald J. Trump",10572,"21.88%",35070,"72.57%"
"1503",2016,29099,"Hillary Clinton","Donald J. Trump",31568,"29.50%",69036,"64.52%"
"1504",2016,29101,"Hillary Clinton","Donald J. Trump",5930,"27.76%",13719,"64.22%"
"1505",2016,29103,"Hillary Clinton","Donald J. Trump",379,"20.27%",1416,"75.72%"
"1506",2016,29105,"Hillary Clinton","Donald J. Trump",2553,"15.82%",12881,"79.81%"
"1507",2016,29107,"Hillary Clinton","Donald J. Trump",4053,"25.37%",10988,"68.78%"
"1508",2016,29109,"Hillary Clinton","Donald J. Trump",2901,"17.26%",13089,"77.86%"
"1509",2016,29111,"Hillary Clinton","Donald J. Trump",934,"20.85%",3344,"74.64%"
"1510",2016,29113,"Hillary Clinton","Donald J. Trump",5575,"22.20%",18159,"72.31%"
"1511",2016,29115,"Hillary Clinton","Donald J. Trump",1240,"22.19%",4088,"73.17%"
"1512",2016,29117,"Hillary Clinton","Donald J. Trump",1265,"19.70%",4879,"75.99%"
"1513",2016,29119,"Hillary Clinton","Donald J. Trump",1329,"16.01%",6599,"79.49%"
"1514",2016,29121,"Hillary Clinton","Donald J. Trump",1548,"20.29%",5798,"75.98%"
"1515",2016,29123,"Hillary Clinton","Donald J. Trump",1005,"18.89%",4102,"77.09%"
"1516",2016,29125,"Hillary Clinton","Donald J. Trump",794,"17.64%",3561,"79.13%"
"1517",2016,29127,"Hillary Clinton","Donald J. Trump",2994,"23.14%",9419,"72.80%"
"1518",2016,29129,"Hillary Clinton","Donald J. Trump",216,"12.38%",1486,"85.16%"
"1519",2016,29131,"Hillary Clinton","Donald J. Trump",1750,"15.24%",9285,"80.87%"
"1520",2016,29133,"Hillary Clinton","Donald J. Trump",1458,"28.21%",3600,"69.65%"
"1521",2016,29135,"Hillary Clinton","Donald J. Trump",1237,"18.11%",5347,"78.29%"
"1522",2016,29137,"Hillary Clinton","Donald J. Trump",853,"20.52%",3159,"76.01%"
"1523",2016,29139,"Hillary Clinton","Donald J. Trump",1119,"20.61%",4127,"76.02%"
"1524",2016,29141,"Hillary Clinton","Donald J. Trump",1768,"20.04%",6760,"76.64%"
"1525",2016,29143,"Hillary Clinton","Donald J. Trump",1933,"26.27%",5270,"71.63%"
"1526",2016,29145,"Hillary Clinton","Donald J. Trump",4990,"18.61%",20553,"76.67%"
"1527",2016,29147,"Hillary Clinton","Donald J. Trump",2529,"26.74%",6380,"67.46%"
"1528",2016,29149,"Hillary Clinton","Donald J. Trump",865,"18.53%",3671,"78.64%"
"1529",2016,29151,"Hillary Clinton","Donald J. Trump",998,"14.08%",5856,"82.60%"
"1530",2016,29153,"Hillary Clinton","Donald J. Trump",724,"16.07%",3639,"80.78%"
"1531",2016,29155,"Hillary Clinton","Donald J. Trump",1947,"32.22%",3964,"65.60%"
"1532",2016,29157,"Hillary Clinton","Donald J. Trump",1520,"17.39%",6908,"79.04%"
"1533",2016,29159,"Hillary Clinton","Donald J. Trump",4324,"23.75%",12810,"70.37%"
"1534",2016,29161,"Hillary Clinton","Donald J. Trump",4766,"25.47%",12709,"67.92%"
"1535",2016,29163,"Hillary Clinton","Donald J. Trump",1806,"24.31%",5274,"71.00%"
"1536",2016,29165,"Hillary Clinton","Donald J. Trump",20057,"40.43%",25933,"52.28%"
"1537",2016,29167,"Hillary Clinton","Donald J. Trump",2631,"19.12%",10438,"75.84%"
"1538",2016,29169,"Hillary Clinton","Donald J. Trump",2922,"21.51%",9876,"72.71%"
"1539",2016,29171,"Hillary Clinton","Donald J. Trump",353,"15.05%",1936,"82.52%"
"1540",2016,29173,"Hillary Clinton","Donald J. Trump",1138,"21.50%",3969,"74.97%"
"1541",2016,29175,"Hillary Clinton","Donald J. Trump",2283,"21.94%",7529,"72.34%"
"1542",2016,29177,"Hillary Clinton","Donald J. Trump",3090,"28.23%",7104,"64.91%"
"1543",2016,29179,"Hillary Clinton","Donald J. Trump",540,"17.77%",2406,"79.20%"
"1544",2016,29181,"Hillary Clinton","Donald J. Trump",830,"15.03%",4522,"81.86%"
"1545",2016,29183,"Hillary Clinton","Donald J. Trump",68626,"33.78%",121650,"59.87%"
"1546",2016,29185,"Hillary Clinton","Donald J. Trump",936,"20.22%",3501,"75.62%"
"1547",2016,29186,"Hillary Clinton","Donald J. Trump",2542,"29.86%",5496,"64.57%"
"1548",2016,29187,"Hillary Clinton","Donald J. Trump",6250,"25.08%",17468,"70.10%"
"1549",2016,29189,"Hillary Clinton","Donald J. Trump",286704,"55.17%",202434,"38.95%"
"1550",2016,29195,"Hillary Clinton","Donald J. Trump",2789,"30.07%",5977,"64.45%"
"1551",2016,29197,"Hillary Clinton","Donald J. Trump",354,"18.29%",1505,"77.74%"
"1552",2016,29199,"Hillary Clinton","Donald J. Trump",365,"18.43%",1525,"76.98%"
"1553",2016,29201,"Hillary Clinton","Donald J. Trump",3575,"20.62%",13168,"75.95%"
"1554",2016,29203,"Hillary Clinton","Donald J. Trump",776,"19.88%",2966,"75.97%"
"1555",2016,29205,"Hillary Clinton","Donald J. Trump",606,"18.51%",2524,"77.09%"
"1556",2016,29207,"Hillary Clinton","Donald J. Trump",1876,"14.11%",11079,"83.36%"
"1557",2016,29209,"Hillary Clinton","Donald J. Trump",2887,"17.34%",13158,"79.05%"
"1558",2016,29211,"Hillary Clinton","Donald J. Trump",526,"21.16%",1884,"75.78%"
"1559",2016,29213,"Hillary Clinton","Donald J. Trump",4373,"18.47%",18276,"77.20%"
"1560",2016,29215,"Hillary Clinton","Donald J. Trump",1728,"15.77%",8875,"81.01%"
"1561",2016,29217,"Hillary Clinton","Donald J. Trump",1707,"19.78%",6533,"75.69%"
"1562",2016,29219,"Hillary Clinton","Donald J. Trump",3915,"24.80%",11111,"70.39%"
"1563",2016,29221,"Hillary Clinton","Donald J. Trump",1926,"20.64%",7048,"75.53%"
"1564",2016,29223,"Hillary Clinton","Donald J. Trump",948,"16.45%",4658,"80.84%"
"1565",2016,29225,"Hillary Clinton","Donald J. Trump",3177,"18.98%",12840,"76.69%"
"1566",2016,29227,"Hillary Clinton","Donald J. Trump",195,"18.64%",808,"77.25%"
"1567",2016,29229,"Hillary Clinton","Donald J. Trump",1170,"14.41%",6707,"82.61%"
"1568",2016,29510,"Hillary Clinton","Donald J. Trump",104235,"78.68%",20832,"15.72%"
"1569",2016,30001,"Hillary Clinton","Donald J. Trump",1143,"23.57%",3353,"69.15%"
"1570",2016,30003,"Hillary Clinton","Donald J. Trump",2094,"49.42%",1853,"43.73%"
"1571",2016,30005,"Hillary Clinton","Donald J. Trump",1202,"44.78%",1268,"47.24%"
"1572",2016,30007,"Hillary Clinton","Donald J. Trump",573,"18.29%",2348,"74.94%"
"1573",2016,30009,"Hillary Clinton","Donald J. Trump",1828,"30.51%",3748,"62.56%"
"1574",2016,30011,"Hillary Clinton","Donald J. Trump",70,"8.91%",678,"86.26%"
"1575",2016,30013,"Hillary Clinton","Donald J. Trump",12175,"35.22%",19632,"56.79%"
"1576",2016,30015,"Hillary Clinton","Donald J. Trump",732,"28.12%",1679,"64.50%"
"1577",2016,30017,"Hillary Clinton","Donald J. Trump",1176,"22.68%",3657,"70.53%"
"1578",2016,30019,"Hillary Clinton","Donald J. Trump",168,"17.46%",730,"75.88%"
"1579",2016,30021,"Hillary Clinton","Donald J. Trump",787,"17.85%",3320,"75.30%"
"1580",2016,30023,"Hillary Clinton","Donald J. Trump",2058,"48.93%",1763,"41.92%"
"1581",2016,30025,"Hillary Clinton","Donald J. Trump",154,"10.38%",1279,"86.19%"
"1582",2016,30027,"Hillary Clinton","Donald J. Trump",1202,"20.58%",4269,"73.10%"
"1583",2016,30029,"Hillary Clinton","Donald J. Trump",13293,"27.99%",30240,"63.67%"
"1584",2016,30031,"Hillary Clinton","Donald J. Trump",24246,"45.05%",23802,"44.23%"
"1585",2016,30033,"Hillary Clinton","Donald J. Trump",34,"4.74%",653,"90.95%"
"1586",2016,30035,"Hillary Clinton","Donald J. Trump",3121,"61.50%",1620,"31.92%"
"1587",2016,30037,"Hillary Clinton","Donald J. Trump",71,"14.98%",365,"77.00%"
"1588",2016,30039,"Hillary Clinton","Donald J. Trump",472,"26.56%",1192,"67.08%"
"1589",2016,30041,"Hillary Clinton","Donald J. Trump",2371,"36.79%",3478,"53.96%"
"1590",2016,30043,"Hillary Clinton","Donald J. Trump",1998,"29.76%",4177,"62.21%"
"1591",2016,30045,"Hillary Clinton","Donald J. Trump",235,"19.45%",872,"72.19%"
"1592",2016,30047,"Hillary Clinton","Donald J. Trump",4776,"36.23%",7530,"57.13%"
"1593",2016,30049,"Hillary Clinton","Donald J. Trump",14478,"41.02%",16895,"47.87%"
